EC50_1,SMILES,EC50_0,EC50_2,EC50_3,EC50_4,EC50_5
-2.322219294733919,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,,-1.975431808509263,-0.4771212547196624,
-3.096910013008056,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,-3.096910013008056,,-2.687974620034556,,-2.8239087409443187
-2.0211892990699383,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,,,-1.7745169657285496,
-2.6989700043360187,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,,,-3.3010299956639813,,
-2.556302500767288,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,-2.2405492482826,,-2.780557320149522,-2.5921767573958667,
-0.4771212547196624,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,,,,,
-2.4771212547196626,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,-1.9590413923210936,-2.0,,-1.880813592280792,
-2.505149978319906,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,,,,-2.026328938722349,
-0.6989700043360189,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,,,-6.778151250383644,-8.0,-7.301029995663981
-2.3010299956639813,NC(=O)N1c2ccccc2C=Cc2ccccc21,-0.6989700043360189,,-1.5740312677277188,-1.252853030979893,-1.6989700043360187
-3.0,NC(=O)NC(CCC(=O)O)C(=O)O,-3.0,,-2.8239087409443187,,-2.6989700043360187
-1.812913356642856,Cc1cc(C2CCCCC2)n(O)c(=O)c1,-1.6532125137753435,,-2.4771212547196626,,
-1.6532125137753435,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-1.6101276130759954,,-1.469822015978163,-0.8260748027008264,
-8.301029995663981,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,,,,,
-2.4771212547196626,Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,-2.3010299956639813,,-1.7596678446896306,,-1.9719712763997568
-0.6020599913279624,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,,,-0.4074853265782679,,-0.3010299956639812
-2.4771212547196626,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,,,,-3.0211892990699383,
-2.3010299956639813,CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,,,-1.3979400086720375,,
-3.3010299956639813,NC(=O)CCC(N)C(=O)O,,,,,-3.3010299956639813
-2.4771212547196626,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-2.4771212547196626,,-2.4771212547196626,-1.662757831681574,
-2.5118833609788744,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-8.957128197676813,-2.3010299956639813,,-8.41306120790347,
-3.1222158782728267,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-3.255272505103306,,-2.745966567012242,-3.1297972712286284,
-2.574031267727719,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)O)ccc2S(=O)(=O)[O-])cc1,,,,,
-2.204119982655925,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,-2.6989700043360187,,-2.3138672203691533,-2.060697840353612,
-1.658964842664435,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,-2.161368002234975,,-1.9614210940664485,-1.5522625229655471,
-0.5642714304385626,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,-0.0,,-0.981738683025684,-1.6127838567197357,
-3.220108088040055,CCC(C(N)=O)N1CCCC1=O,,,-3.017902450018896,-2.9860823778010257,
-1.7781512503836436,CNCCCC12CCC(c3ccccc31)c1ccccc12,,,,-1.505149978319906,
-0.4771212547196624,CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,,,-0.4771212547196624,-1.0,
-0.0,Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,-1.0413926851582251,,,-0.3424226808222063,
-1.3010299956639813,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,,,,,
-1.937852093251156,Cc1cccc(C)c1OCC(C)N,,,-2.397940008672037,-2.0,
-1.3010299956639813,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,,,,-1.1760912590556811,
-2.3010299956639813,CC#CC1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C,-2.096910013008056,,-1.740362689494244,-2.005395031886706,
-1.3979400086720375,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,-1.3979400086720375,,,,
-1.8750612633917,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O,-1.8750612633917,,,,
-1.6283889300503116,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,,,-1.6532125137753435,-1.8854640237914675,
-1.3832167518513314,COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,,,-1.6989700043360187,-1.608793373986931,
-1.6989700043360187,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,,,,,
-0.7781512503836436,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,,,,,
-2.6989700043360187,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,-2.0,,,-2.3090976174120144,
-2.0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,-2.798190099822149,,-2.5309873556067504,-2.601961276818638,
-1.8750612633917,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,,,-0.3010299956639812,-1.8750612633917,
0.4001823949274971,CCCNC1CCc2nc(N)sc2C1,,,,1.013631348135158,
-1.7626785637274365,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,-1.7609248484091329,,-1.9892520064667776,-1.7256394326735374,
-2.4771212547196626,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,,,,,
-2.337459261290656,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,,,-2.2144362511319007,-2.855317205195943,
-2.1760912590556813,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,-2.9242792860618816,-3.0,-2.2218487496163566,-2.564463979535888,
-1.7853298350107671,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,-2.3010299956639813,-2.3010299956639813,-1.6821450763738317,-2.113943352306837,
-2.397940008672037,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,-0.3010299956639812,,-2.246744709723841,-1.9834007381805383,
-1.6020599913279625,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,-1.7781512503836436,,-1.619788758288394,-1.6020599913279625,
-2.0,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,,,-1.9208187539523751,,
-1.6989700043360187,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-1.7906369619317033,,-2.074404982081093,-1.4522976709946305,
-1.9030899869919435,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,-1.9030899869919435,,-2.672097857935717,-2.322219294733919,
-2.544068044350276,CCC(c1cccc(O)c1)C(C)CN(C)C,-2.404406050921269,,-2.4167280755373683,-2.3521825181113627,
-1.146128035678238,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,,,,-1.6989700043360187,
-1.255272505103306,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,,,,,
-3.009450895798694,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-3.051117426525757,,-5.184691430817598,-0.7781512503836436,
,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,-3.0,,-2.7748361825616668,,
,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,-2.263241434774581,,,-1.6989700043360187,
,CC(=O)Nc1ccc(O)cc1,-1.81424759573192,,-1.3979400086720375,-3.02368179886074,
,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,-1.740362689494244,,,-2.0,-1.845098040014257
,C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,-0.6989700043360189,,,-0.6020599913279624,
,CCO,-4.547313099163422,-3.6020599913279625,,-5.696590845287982,
,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,-2.6989700043360187,,-2.7781512503836434,-2.6989700043360187,
,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-0.6989700043360189,,-1.4393326938302626,-1.4825162866063686,-2.130333768495006
,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,-0.5797835966168101,,-1.0,-1.0,
,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,-2.278753600952829,,-2.544068044350276,,-2.537819095073274
,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,-1.3979400086720375,,-1.5440680443502757,-1.6766936096248666,-1.5440680443502757
,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,-3.4771212547196626,,,,
,CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,-3.0,-2.517761262944424,-2.8750612633917,-2.740362689494244,
,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,-2.3010299956639813,,-1.9520435453393867,-2.12057393120585,
,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,-1.6532125137753435,,,-1.2471546148811268,
,CC(=O)Oc1ccccc1C(=O)O,-1.4471580313422192,,,-1.0253058652647702,
,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.0791812460476247,,,-1.235528446907549,
,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,-1.6532125137753435,,-1.5637776333621658,-1.0,
,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,-1.954242509439325,,,,
,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,-1.3979400086720375,,-1.59659709562646,-0.9030899869919436,-1.812913356642856
,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,-2.282546589969968,,-2.397940008672037,,-2.441956837656412
,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2ncc(C(N)=O)s2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,-0.7781512503836436,,,-0.6532125137753437,-0.4771212547196624
,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,-1.9030899869919435,,-2.2587056809417,,-1.9030899869919435
,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,-1.130333768495006,,,-1.3424226808222062,
,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,-8.505149978319906,,,,
,C=C1/C(=C\C=C2/CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,-6.845098040014257,,-7.176091259055681,-6.778151250383644,-7.414973347970818
,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,-1.2787536009528289,,,-1.3424226808222062,
,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CSC12)c1csc(N)n1,-2.7781512503836434,,-2.773603622632923,,
,C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1,-2.0791812460476247,,,,
,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,-3.5642714304385628,,-2.8750612633917,-3.8846065812979305,
,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,-1.146128035678238,,,-1.224014811372864,
,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-0.9294189257142929,,,-0.8016323462331665,
,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.7781512503836436,,,-0.6766936096248666,-0.3010299956639812
,COC(=O)NC(C(=O)N1CCCC1c1nc(-c2ccc(-c3ccc(-c4c[nH]c(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)n4)cc3)cc2)c[nH]1)C(C)C,-1.6989700043360187,,-2.5118833609788744,,
,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,-3.0,,-2.0,,-2.633468455579586
,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,-2.0,,-2.0,,-1.8864907251724816
,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-2.1760912590556813,,-2.1826591646762967,,-2.5473644129795043
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-2.249198357391113,-1.7160033436347992,-1.4771212547196624
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-2.249198357391113,-1.7160033436347992,-2.397940008672037
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-2.249198357391113,-0.6020599913279624,-1.4771212547196624
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-2.249198357391113,-0.6020599913279624,-2.397940008672037
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-1.7781512503836436,-1.7160033436347992,-1.4771212547196624
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-1.7781512503836436,-1.7160033436347992,-2.397940008672037
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-1.7781512503836436,-0.6020599913279624,-1.4771212547196624
,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,-2.0,,-1.7781512503836436,-0.6020599913279624,-2.397940008672037
,COC(=O)/C=C/C(=O)OC,-2.0,,-2.0,-2.1760912590556813,
,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-0.6989700043360189,,,,
,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,-1.8750612633917,,-2.331843943078201,,-1.9208187539523751
,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N)C(O)C(C)O1)CC(O)(C(=O)CO)C=4,-1.0086001717619175,,-0.9777236052888476,-0.9667590668613208,
,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,-1.591064607026499,,-2.204119982655925,-0.8450980400142568,
,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,-2.6020599913279625,,-2.3891660843645326,-2.3640817414110704,
,COc1ccc(CN(C(=O)C(N)Cc2c(C)cc(C(N)=O)cc2C)C(C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,-2.6989700043360187,,,,
,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-0.7634279935629372,,,,-1.0
,CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21,-2.397940008672037,,-2.0805363001325907,-2.3891660843645326,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.4471580313422194,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.4471580313422194,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.0791812460476247,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.0791812460476247,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.4471580313422194,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.4471580313422194,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.0791812460476247,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.0791812460476247,-1.8920946026904804,
,CC(C)=CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-2.7781512503836434,,,-2.0211892990699383,
,COC1OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(COS(=O)(=O)O)C(OC4OC(C(=O)O)C(OC5OC(COS(=O)(=O)O)C(O)C(O)C5NS(=O)(=O)O)C(O)C4O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C(O)C1NS(=O)(=O)O,-1.0,,-1.0,,
,CC(C)CN(CC(O[PH](=O)(=O)O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,-3.3502480183341627,,-2.9080311028032235,,
,CC(C)c1cccc(C(C)C)c1OCO[PH](=O)(=O)O,-1.9890046156985368,,,,-0.6989700043360189
,NCC1(CC(=O)O)CCCCC1,-3.00966331667938,,-3.3010299956639813,-3.3452336581560345,-3.1760912590556813
,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-1.3010299956639813,,,-1.3617278360175928,
